Year,Type,Source,Text,Polarity,Subjectivity
2017,NEWS,"Arizona Daily Star
","ways that makes them more prone to victimization, "" he said.  #  Illegal immigrants may hesitate to contact law enforcement, which makes it easier for them to be",0.0,0.5
2017,NEWS,"Washington Times
","Jessica Davis, Susan Oliver and Jenna Oliver, who lost loved ones to illegal immigrants, acknowledged applause at the start of President Trump's speech on Tuesday. (",0.09999999999999998,0.65
2017,NEWS,"Washington Times
","senior White House official said he is ready to embrace a bill legalizing most illegal immigrants.  #  Dreamers could earn full status, while others would be allowed to live",0.11439393939393938,0.425
2017,NEWS,"Washington Times
","victims' families have fought for years to get on an equal footing with illegal immigrants, but it took Mr. Trump to get them there.  #  He launched his",-0.25,0.375
2017,NEWS,"Washington Times
","Democratic National Committee Chairman Tom Perez.  #  Ms. Espinoza, though, said illegal immigrants haven't faced the real family separation of having a relative killed.  #  """,-0.125,0.2
2017,NEWS,"Washington Times
","see their child again, "" she said.  #  Dreamers countered that judging illegal immigrants by the behavior of criminals is unfair.  #  "" You can't paint the",-0.5,0.75
2017,NEWS,"Washington Times
","extremes of the debate. Dreamers have long been the most sympathetic class of illegal immigrants, having usually been brought to the U.S. by their families with little say in",0.002083333333333326,0.525
2017,NEWS,"Washington Times
","called for a special victims office to help those struck by crimes perpetrated by illegal immigrants.  #  "" We are providing a voice to those who have been ignored by",-0.07142857142857142,0.5357142857142857
2017,ACAD,"Vanderbilt Law Review
","as assisted suicide, 165 sale of narcotics, 166 and the smuggling of illegal immigrants, 167 the "" objects "" of the criminal offense (i.e., the deceased",-0.45,0.525
2017,ACAD,"Brigham Young University Law Review
","be used to defend the right to a public-school education of children who are illegal immigrants. The ability to attend public school is not "" life, liberty, or",-0.07142857142857144,0.36746031746031743
2017,ACAD,"Brigham Young University Law Review
",". # The Texas law was created precisely to single out the children of illegal immigrants and deny them the equal protection of the laws, withholding access to the public-school",-0.19047619047619047,0.32142857142857145
2017,ACAD,"Brigham Young University Law Review
","but rather "" encouraged "": if state and local police officers help identify illegal immigrants via background checks on individuals they have already arrested or detained, that information is",-0.25,0.25
2017,ACAD,"Brigham Young University Law Review
","even (and especially!) if those aliens are the children of "" illegal immigrants. "" # The text of the Fourteenth Amendment is immutable, and the definitions",-0.25,0.75
2017,ACAD,"Journal of American Folklore
","). "" So are violent uprisings. Angry inmates at a prison for illegal immigrants in Natchez, Mississippi, rioted in May 2012 over poor food, inadequate medical",-0.44000000000000006,0.62
2017,SPOK,"Fox: On The Record: Baier
",". BAIER# The Dreamers, obviously, the children who are here, of illegal immigrants who are illegal themselves. But they were here, and basically the president had",-0.3333333333333333,0.5
2017,SPOK,"Fox: Tucker Carlson Tonight
","obstructions that are going to keep all of these -- keep drug dealers or illegal immigrants out of the country. I mean, the reality is, when you look",-0.40625,0.59375
2017,SPOK,"Fox: O'Reilly Factor
","that number dropped to 279, still a big number. But nearly 2,000 illegal immigrants were shielded by these outlaw sanctuary cities. In fact, 1970 of the undocumented",-0.13333333333333333,0.3333333333333333
2017,SPOK,"Fox: Fox Hannity
","expediting the process to remove criminal illegal aliens, creating more detention space for illegal immigrants, ending the catch-and- release policy, prioritizing prosecution and deportation for lawbreakers, sending",-0.225,0.5125
2017,SPOK,"Fox: Fox Hannity
","an order to strip federal grant money from sanctuary states and cities that harbor illegal immigrants, support victims and families of victims of crimes committed by removable aliens, reinstate",-0.5,0.5
2017,SPOK,"Fox: Fox Hannity
","committed by removable aliens, reinstate Secure Communities program to help ICE agents target illegal immigrants for removal and to hire an additional 10,000 ICE officers. And in President Trump",-0.04999999999999999,0.55
2017,SPOK,"Fox: Kelly File
","York City be able to hide the identities of thousands of undocumented immigrants -- illegal immigrants from the feds. That fight is just ahead. KELLY# "" DEVELOPING "" tonight",0.0,0.5625
2017,SPOK,"Fox: Kelly File
","example, Donald Trump's vow to go after the Sanctuary City that protect illegal immigrants. We should note Eric Holder is now with the D.C. law firm specializes in",-0.35,0.45
2017,SPOK,"Fox: Kelly File
","officials. Not only of the city of New York handing out documentation to illegal immigrants. Which can be controversial unto itself, they are going out of their way",0.0465909090909091,0.7261363636363636
2017,SPOK,"Fox: First 100 Days
",sanctuary cities is heating up as state officials vow to offer safe spaces for illegal immigrants in defiance of President Trump's executive order. Santa Fe Mayor Javier Gonzales joins,0.0,0.5
2017,SPOK,"Fox: First 100 Days
",do that in terms of criminal justice money unless the program is specifically about illegal immigrants and undocumented people. So if that kind of limit that's put in place,-0.10000000000000002,0.65
2017,SPOK,"Fox: Journal Editorial Report
","to give the states the lists they have, for example, legal and illegal immigrants to this country who may be on voter registration rolls. And we know this",-0.15,0.35
2017,SPOK,"Fox: Journal Editorial Report
","there any example that you know of in which fraudulent voting, particularly with illegal immigrants, turned an election result? FUND# In 2008, Al Franken, after six",-0.16666666666666669,0.41666666666666663
2017,SPOK,"Fox: Journal Editorial Report
","n't have Obamacare as we know it today. PAUL# OK, what about illegal immigrants? Have they turned any election? You wrote a piece for us not too",0.0,0.5
2017,SPOK,"Fox: Journal Editorial Report
",". They have given out a million driver's licenses to people who are illegal immigrants, and many of those people use that to potentially vote and do other things",-0.03125,0.59375
2017,SPOK,"Fox: Tucker Carlson Tonight
","likely immigration as defiant state Democrats offer $80 million taxpayer to protect 2.3 million illegal immigrants from deportation, an approach endorsed by the L.A. mayor Eric Garcetti. UNIDENTIFIED-MALE# When people",-0.25,0.75
2017,SPOK,"CBS: Face The Nation
","of congressional Republicans, who are fine with legal status for this group of illegal immigrants who were brought here in most case as children, that's not a problem",0.15416666666666667,0.425
2017,SPOK,"CBS: 60 Minutes
",", stunning his American family and friends. Some people say, look, illegal immigrants are coming here and they're taking jobs. KIMBERLY-GLOWACKI# That's not even the",0.0,0.5
2017,SPOK,"CBS: 60 Minutes
","Those stories tonight on 60 MINUTES. (ANNOUNCEMENTS) DEPORTED promised he'd crackdown on illegal immigrants, and in his first hundred days, has moved quickly to do just that",0.027777777777777773,0.4444444444444444
2017,SPOK,"CBS: 60 Minutes
","voted for President Trump. During the primaries, the President said this about illegal immigrants: PRESIDENT-DONALD-T(CNN): They will go out. They will come back. Some will",-0.25,0.25
2017,SPOK,"CBS: 60 Minutes
","would not have voted for Trump. ANDERSON-COOPER# Some people say, look, illegal immigrants are coming here and they're taking jobs. KIMBERLY-GLOWACKI# That's not even the",-0.5,0.5
2017,SPOK,"ABC: The View
","that the President talked about this week who became victims of violence because of illegal immigrants, I'd like to continue to talk about the election, it amuses me",-0.5,0.5
2016,SPOK,"NBC: Meet The Press
","our vets being treated horribly, frankly, they're being treated worse than illegal immigrants. The people are angry at that. They're not angry about something I",-0.43,0.82
2016,SPOK,"ABC: The View
","night he claimed that there's a nationwide voter fraud, dead people, illegal immigrants casting ballots, people voting five and 10 times. He wants supporters to watch",-0.16666666666666666,0.3333333333333333
2016,SPOK,"ABC: The View
",". TRUMP-SUPPORTER# You can say he's - he's against Muslims and against illegal immigrants, but he's, he's against, you know, people that are",-0.5,0.5
2016,SPOK,"PBS: PBS Newshour
","be healed either, all because of the leftist policies of sanctuary cities harboring illegal immigrants who have committed crimes and shouldn't be here. JUDY-WOODRUFF# Kellyanne Conway, adviser",-0.275,0.55
2016,SPOK,"CNN: CNN Newsroom
",lot of unsettling rhetoric. During the campaign Donald Trump promised mass-scale deportation of illegal immigrants. He's still suggesting closer relations with Russia. VAUSE# And in the battle,-0.5,0.6
2016,SPOK,"CBS: Face The Nation
","already pushing back on our illegal immigration act because they say finding 11 million illegal immigrants is going to be hard. ALEC-BALDWIN, -PORT "" SATURDAY NIGHT LIVE "":",-0.23106060606060605,0.4083333333333333
2016,SPOK,"PBS: PBS Newshour
","bring in Farah here. You have been hearing this conversation about immigrants, illegal immigrants and other immigrants, are hurting this country. What do you think, and",-0.3125,0.4375
2016,SPOK,"PBS: PBS Newshour
",And immigrants who came here legally don't want 11 million or 30 million illegal immigrants to be here without the proper documentation. I mean I don't think policy,-0.153125,0.37187499999999996
2016,SPOK,"PBS: PBS Newshour
",". On Monday, we heard from three parents whose children were killed by illegal immigrants, Mary Ann Mendoza, Sabine Durden, and my friend, Jamiel Shaw.",-0.35,0.25
2016,SPOK,"PBS: PBS Newshour
","different type of program. By giving deferred deportation to a whole class of illegal immigrants, you are actually changing their legal status, and you can't do that",-0.019999999999999997,0.36
2016,SPOK,"PBS: PBS Newshour
","coverage away from questions about his university defrauding people, away from his hiring illegal immigrants, and puts it onto his momentum, which is where he needs it to",-0.5,0.5
2016,SPOK,"Fox: Fox Hannity
","many, many family members whose loved ones were victims of crimes committed by illegal immigrants. And tomorrow, we'll be joined by law enforcement experts. Now,",0.3,0.575
2016,SPOK,"Fox: Fox Hannity
","absolutely staggering. Now, the Pew Research Center estimates that over 11 million illegal immigrants now live in this country, not respecting our laws and sovereignty. The Federation",-0.06590909090909092,0.5
2016,SPOK,"Fox: Fox Hannity
","billion on justice expenditures, and $5.3 billion on welfare-related costs. Now, illegal immigrants make up 5.1 percent of the U.S. labor force. Over 8 million illegals now",-0.5,0.5
2016,SPOK,"Fox: Fox Hannity
","Migration Policy Institute, they have an estimate that says of the 11 million illegal immigrants now living in the country, 820,000 of them are convicted criminals! (BOOS) HANNITY#",-0.625,0.5
2016,SPOK,"Fox: Fox Hannity
","! (BOOS) HANNITY# And the most recent numbers show that in 2010, 55,000 illegal immigrants were being held right here in federal prisons. And when it comes to federal",0.07142857142857142,0.4464285714285714
2016,SPOK,"Fox: Fox Hannity
","36.6 percent of the more than 70,000 federal sentences for offenses were committed by illegal immigrants. And if you look at the breakdown of the numbers, the federal sentences",0.0,0.5
2016,SPOK,"Fox: Fox Hannity
","the breakdown of the numbers, the federal sentences from last year alone, illegal immigrants responsible for 18 percent of drug trafficking, 30 percent of kidnapping, hostage-taking,",-0.09999999999999999,0.37222222222222223
2016,SPOK,"Fox: Fox Hannity
","over 11 times, and have seen up close and personal the impact of illegal immigrants trying to cross into this country. I've also seen massive drug tunnels and",-0.125,0.45
2016,SPOK,"Fox: Fox Hannity
","There are in America today over 300 sanctuary jurisdictions, which protect and shelter illegal immigrants from being deported. Tonight is about the truth. This is truth you will",-0.5,0.5
2016,SPOK,"Fox: Fox Hannity
","stage, along with mothers who have lost their children to crimes committed by illegal immigrants. Here's just part of what you will see in this investigative reporting tonight",-0.5,0.5
2016,SPOK,"Fox: Fox Hannity
","back, you're going to hear from mothers whose children were killed by illegal immigrants, as we continue. We're in Austin, Texas, it's """,-0.2333333333333333,0.16666666666666666
2016,SPOK,"Fox: Fox Hannity
","we come back, we'll hear from more mothers whose children killed by illegal immigrants, more reaction from Donald Trump as we continue from Austin, Texas. We",0.06,0.3
2016,SPOK,"Fox: On The Record: Susteren
","watching me right now, forced out of a job by undocumented workers, illegal immigrants, and my father is running for you. The single mothers, the families",-0.14642857142857144,0.3625
2016,SPOK,"Fox: O'Reilly Factor
","was federal law passed decades ago that actually reimbursed local governments for holding these illegal immigrants until ICE takes them into custody. O'REILLY# Right. LANDRIEU# So, we believe",-0.053571428571428575,0.2839285714285714
2016,SPOK,"Fox: The Five
","news out of San Francisco. The city is upholding its controversial law protecting illegal immigrants like the man who killed 32-year-old Kate Steinle. Details next when "" The Five",-0.03749999999999999,0.3625
2016,SPOK,"Fox: The Five
",. GUILFOYLE# Lawmakers in San Francisco have decided to keep its controversial law protecting illegal immigrants. The board of supervisors unanimously voted yesterday to uphold the sanctuary city policy almost,0.025000000000000022,0.725
2016,SPOK,"Fox: The Five
","Hmm, maybe there is something to this theory that a lot of these illegal immigrants in this country are the source of crime and horrible things happening to good people",-0.26666666666666666,0.7000000000000001
2016,SPOK,"Fox: O'Reilly Factor
","Mexico in Nogales, Arizona, legally every day. Those here say some illegal immigrants are being allowed to do stay. UNIDENTIFIED-MALE# It's very frustrating. I mean",-0.283125,0.596875
2016,SPOK,"Fox: O'Reilly Factor
","Patrol Council. He and his union charge the Obama administration has blatantly freeing illegal immigrants, thousands of them, instead of kicking them out of the country. The",-0.5,0.5
2016,SPOK,"Fox: Fox News Sunday
","on at great length and it talks about remember Donald Trump's comments about illegal immigrants being rapists and criminals, remember Donald Trump's comments that John McCain is not",0.15000000000000002,0.625
2016,SPOK,"Fox: On The Record: Susteren
",an already filed case that challenges the president's plan to shield 11 million illegal immigrants from deportation. South Carolina Congressman and Lawyer Trey Gowdy goes ON THE RECORD.,-0.5,0.5
