Duration (in seconds),Participation,Q1,Q2,Q3,Q4,Q5,I6,I7,I8,I9,I10,I11,I12,U6,U7,U8,U9,U10,U11,U12
257,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,3.4,4.5,3.6,3.9,2.6,5.6,5.3
132,Yes,Male,Master's Degree,African American or Black,Donald Trump,5.8,5.4,5.2,6.2,5.3,5.4,5.1,6,,,,,,,
156,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.4,1,1,1,6.6,5.5,4.2,6.2,,,,,,,
193,Yes,Male,Some College,Caucasian or White,Donald Trump,6.1,,,,,,,,4.4,6,6.3,1,1,1,3
251,Yes,Female,Bachelor's Degree,Caucasian or White,Did not vote,5.1,,,,,,,,2.1,1,1.2,1.7,1.7,1,2.3
242,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.1,,,,,,,,5.7,6.4,6.3,6.5,5.2,5.7,6.1
186,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.5,1,1,1,5.5,5.5,1,6,,,,,,,
97,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,3.5,,,,,,,,4.1,4.1,4.1,4.3,4.6,4.4,3.8
312,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,5.4,,,,,,,,6.1,5.7,5.6,5.8,5.7,5.2,6
65,Yes,Female,High School,Asian,Hillary Clinton,4.1,4.9,3.2,3.1,3.2,3.7,5,4.6,,,,,,,
154,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,7,7,5,7
68,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5.5,1,1,1,6.5,5.7,6.5,5,,,,,,,
118,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,2.8,3.3,3,2.4,2.9,2.9,3.9,,,,,,,
222,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4.1,,,,,,,,1,1,1.3,5.2,2.8,2.3,6.1
141,Yes,Male,Some College,Caucasian or White,Hillary Clinton,3.9,,,,,,,,1,1,1.1,5.5,4.3,4.6,6.5
141,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6,,,,,,,,6.1,5,6.4,1.7,1.1,1.2,3
239,Yes,Male,High School,Caucasian or White,Did not vote,6.1,,,,,,,,7,4,7,5,4.5,1,4
216,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,2.5,1,3,2.9,2.4,1,1.8
145,Yes,Male,Bachelor's Degree,Caucasian or White,Other,7,1,1,1,7,7,7,5.1,,,,,,,
205,Yes,Female,Some College,Caucasian or White,Donald Trump,6.9,7,5,6.1,1,1,1,1.1,,,,,,,
356,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,6,5.2,4.9,5.5,3.6,2.8,3.9,5.1,,,,,,,
138,Yes,Female,Some College,African American or Black,Hillary Clinton,4.7,,,,,,,,5,4.1,4.2,4.4,4.1,4.5,4.8
286,Yes,Male,Some College,Caucasian or White,Other,7,,,,,,,,7,4,7,1,1,1,4
181,Yes,Male,Bachelor's Degree,African American or Black,Donald Trump,6.5,6.6,6.3,6.8,4.7,5.1,6.3,7,,,,,,,
210,Yes,Female,Some College,Caucasian or White,Other,4,4,1,4,3,2.9,4.7,5.8,,,,,,,
139,Yes,Female,Some College,Asian,Hillary Clinton,5.9,,,,,,,,1,1,1,7,7,5.9,6.7
228,Yes,Male,Some College,Caucasian or White,Other,3,1,1,1,7,5,4.9,4.1,,,,,,,
86,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,4.6,4.9,4.3,4.7,3.9,5.5,5.7,,,,,,,
423,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.1,,,,,,,,6.5,5.2,2.3,1.7,1.2,1.4,3.7
220,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,4.1,3.3,5.2,3.9,3.8,2.6,3.5
159,Yes,Male,Master's Degree,Hispanic or Latino,Donald Trump,6.1,6.4,6.2,6.3,6.4,6.1,6.2,6.3,,,,,,,
136,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,1,1,1,6.2,4.7,2.9,7,,,,,,,
102,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,1,7,7,7,6
84,Yes,Female,Some College,Asian,Hillary Clinton,5.4,1,1,1,5.8,3.8,2,5.4,,,,,,,
223,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1.5,3,2.5,1,5.5
137,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.3,5.1,5.2,7,1.1,1.1,1,3.5,,,,,,,
153,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,4,,,,,,,
145,Yes,Female,High School,Caucasian or White,Did not vote,6.1,1,1,1,7,7,7,5.1,,,,,,,
179,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3,,,,,,,,1,1,4,5,4,2,6
101,Yes,Male,Master's Degree,African American or Black,Donald Trump,5.8,5.6,5.9,5.8,5,6.5,5.7,5.7,,,,,,,
207,Yes,Female,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,7,7,4.8,7,1.1,1.1,1.1,3.4,,,,,,,
119,Yes,Male,Some College,Other,Hillary Clinton,5.1,1,1,1.1,5,4.2,4.2,5.5,,,,,,,
185,Yes,Female,Some College,Caucasian or White,Other,6.1,,,,,,,,1,1,1,4.5,4.8,3.6,6.2
118,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,2.9,1.8,4.3,4.8,3.6,2.6,1.8,6.2,,,,,,,
286,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.6,,,,,,,,5,1.3,5.1,1.1,1.4,1.1,1.9
175,Yes,Female,High School,African American or Black,Hillary Clinton,4.7,,,,,,,,1.1,1,1.1,5.5,1.3,4.5,4.4
171,Yes,Male,Some College,Hispanic or Latino,Donald Trump,3,,,,,,,,6,3,2,2,3,1,5
203,Yes,Female,Some College,African American or Black,Hillary Clinton,4.2,,,,,,,,1.6,1,1.8,4.4,2.9,4.7,5
326,Yes,Female,High School,Caucasian or White,Donald Trump,5.7,,,,,,,,5.3,6.4,6.1,2.8,6.9,4.9,6
