Year,Type,Source,Text,Polarity,Subjectivity
2012,NEWS,"Austin
","Mendez's tuition to business school and her visa expired. Mendez was suddenly an undocumented immigrant, hiding in plain sight in Austin. "" I was stuck, """,-0.10714285714285714,0.4285714285714286
2012,NEWS,"STLouis
","a difficult corner. Some call federal authorities if they think they've detained an undocumented immigrant, some don't. "" You can cut people a break being a",-0.5,1.0
2012,NEWS,"OrangeCR
","Mitt Romney, the GOP's standard bearer). Not because I'm an undocumented immigrant, one of millions accused of stealing American jobs in the party platform adopted",0.0,0.0
2011,SPOK,"NPR_TellMore
","it tried it, it's lost, you know, 30 percent of its undocumented immigrant population. But, you know, it's a lot of political fluff",-0.05,0.2
2011,SPOK,"NPR_TellMore
","Mexican film star Demian Bichir. He plays a man named Carlos Galindo, an undocumented immigrant and single dad in California who's working hard to provide for his American-born",-0.12103174603174605,0.251984126984127
2011,SPOK,"NPR_TellMore
","and they could be criminally liable just for sort of having a friendship with an undocumented immigrant. MARTIN: Well, Matt, how is this playing out politically? I",-0.05,0.3
2011,NEWS,"Denver
","campaign, I asked Michael Bennet if he would work to keep families containing an undocumented immigrant together if he won the election. The family I am interested in contains",0.25,0.5
2010,SPOK,"PBS_NewsHour
","can buy a car, like this man who we will call Bernardino, an undocumented immigrant who drive to his construction jobs. UNDOCUMENTED-IMMIG: I know that I am",0.0,0.0
2010,SPOK,"CBS_NewsMorn
","requires police officers to check the immigration status of anyone they suspect may be an undocumented immigrant. MAN: Me, as the brown person, I wouldnt feel safe",0.5,0.5
2010,SPOK,"Fox_Susteren
","what parts of the country undocumented immigrants are having children. However, the undocumented immigrant population is concentrated in a few states. About 2.7 million of all undocumented",-0.2,0.1
2010,SPOK,"Fox_Susteren
","500,000 puts Arizona in the top 10 states in terms of the size of its undocumented immigrant population. VAN-SUSTEREN: For reference, how about Texas? You know Texas",0.5,0.5
2010,MAG,"AmSpect
",. A philosopher-king understands that infiltrating misleading words can gain an unwarranted politica advantage. Undocumented immigrant is such a phrase. It gains political advantage for illegal immigrants. The,-0.16666666666666666,0.3666666666666667
2010,ACAD,"PolicyStudiesJournal
",", Virginia, Nevada, Tennessee, Arkansas, Utah, and Arizona. As undocumented immigrant communities have spread throughout the United States, more state legislatures are facing policy",0.5,0.5
2010,ACAD,"PolicyStudiesJournal
","vs. Doe decision, which determined that states must provide compulsory public education to undocumented immigrant children. However, the federal government may still define the terms of state",0.0,0.06666666666666667
2008,NEWS,"WashPost
","FESTIVAL, "" Ramchand Pakistani, "" 2:30 p.m. today, and "" Alienated: Undocumented Immigrant Youth "" and "" Beyond the Border, "" 7:30 p.m. Saturday.",0.0,0.0
2008,ACAD,"SocialWork
","are being forced out of the only homeland they have ever known. Children of undocumented immigrant parents, regardless of their own status, are likely to lack essential health",0.059999999999999984,0.7
2008,ACAD,"AnthropolQ
","out of the family home and lived on the street. Another woman, an undocumented immigrant from Jurez, worked as a maid at an El Paso home owned by",0.0,0.0
2007,SPOK,"NPR_TalkNation
","actually enforced, one out of every 10 workers here is estimated to be an undocumented immigrant. So, this could have - if it's really enforced, this",0.1,0.15000000000000002
2006,SPOK,"NPR_Morning
",Unidentified Announcer: Carrie(ph) Reece? s(ph) 17-year-old daughter Felicia(ph) was violently killed by an undocumented immigrant in 1999? LUDDEN: Activist Joshua Hoyt says House members are only hearing,-0.1,0.5
2006,SPOK,"PBS_Tavis
","is that why most of his life he had lived in this country as an undocumented immigrant. Learning these things about my father, and going into this journey,",0.5,0.5
2006,SPOK,"NPR_ATCW
","says right now, one in every seven workers in the construction industry is an undocumented immigrant. Mr-JEFFREY-PASSEL-: There are some construction jobs, drywall installers, masons,",0.2857142857142857,0.5357142857142857
2006,FIC,"BkJuv:Idolon
","bar-code-encrypted concatenation of her DNA had been tweaked, or she was an unchipped and undocumented immigrant. The cause of death wasn't immediately obvious. There were no external",0.0,0.3
2006,MAG,"ChristCentury
",that offers eligibility and assigns rights on the basis of the amount of time an undocumented immigrant has been living in the U.S. We also oppose provisions of the bill that,0.1,0.0
2006,MAG,"TIME
",their home countries New Mexico Became the ninth state to extend in-state tuition benefits to undocumented immigrant students CRACKING DOWN Virginia A recent bill would make it the first state to,0.05770202020202019,0.3316919191919192
2006,NEWS,"SanFranChron
",", and everyone who has a pending application would be taken care of before any undocumented immigrant gets a green card.  #  But some immigration observers say making life easier",-0.2,0.3
2006,NEWS,"Houston
","has become "" racist. ""  #  A U.S. House proposal would make helping an undocumented immigrant a crime.  #  Asked why she joined the march, Juana Flores,",0.0,0.0
2006,NEWS,"Houston
","Services officers do not seek to enforce immigration laws or alert federal authorities of an undocumented immigrant's presence, Oeller said.  #  "" During the course of a defendant",0.0,0.0
2005,SPOK,"NPR_ATCW
","Department of Public Safety is studying the proposal. (Soundbite-of-saw) JEFFRIES: Juan, an undocumented immigrant who did not want to give his last name, doesn't like the",0.0,0.06666666666666667
2004,ACAD,"Hemisphere
","met with Mexico's Secretary of the Interior, Santiago Creel, to discuss an undocumented immigrant amnesty and border regional security. Mexico has attempted to leverage its support for",0.0,0.0
2003,SPOK,"NPR_FreshAir
",". Angela's a Texas girl whose father came to America from Mexico as an undocumented immigrant. He still speaks no English, and his trip to Washington to watch",0.0,0.0
2003,SPOK,"NPR_ATC
","your otherwise informative news reporting.' NORRIS: Regarding John Burnett's story on undocumented immigrant workers, we received this letter from Michigan 12th District Representative Steve Tobocman. BLOCK",0.0,0.0
2002,SPOK,"NPR_ATCW
","campaign issues in most states, but not in Colorado. The case of an undocumented immigrant and his political defenders is making headlines and has created a surprising rift in",0.39999999999999997,0.3666666666666667
2001,SPOK,"NPR_Sunday
","know, moving on. DEL-BARCO: It's hard to know exactly how may undocumented immigrant students there are in the country, since public schools don't require proof",-0.013888888888888895,0.2861111111111111
2001,NEWS,"Atlanta
","other college, Dalton State University, has granted a waiver that lets a high-achieving undocumented immigrant pay in-state tuition.  #  Koger said he was impressed by the lengths Alvarado",0.4375,0.6875
2000,NEWS,"USAToday
","making such a big deal about confidentiality?  #  A: If you were an undocumented immigrant, you certainly would care if the Census Bureau told the Immigration and Naturalization",0.07142857142857142,0.3904761904761904
2000,NEWS,"Houston
","citizens. Adan Carranza, straight-A student and Madison High School's valedictorian, an undocumented immigrant, to lose college scholarships.  #  I get ill reading articles about Americans",-0.16999999999999998,0.77
1998,NEWS,"Houston
","Christmas, get toys from Goodfellows.  #  Mercado recalled that his mother, an undocumented immigrant from Mexico whose husband had abandoned the family, never requested any help from",0.0,0.0
1996,SPOK,"ABC_Nightline
","is that there are five million children every day in schools in California. These undocumented immigrant children, even assuming their numbers are correct, represent about 6 percent of",0.0,0.0
1996,SPOK,"ABC_Nightline
","costs are going to be there, regardless of- regardless of whether you take out undocumented immigrant children from the schools or not. Those costs are going to be there",0.0,0.0
1996,NEWS,"CSMonitor
",in Los Angeles was asked to block a California plan to deny prenatal care to undocumented immigrant women. The American Civil Liberties Union said the request was prompted by indications,0.0,0.0
1994,NEWS,"SanFranChron
","has already done both.  #  The state last year began denying foster care to undocumented immigrant children. And earlier this month, Governor Lawton Chiles filed a $ 1.5",0.0,0.2833333333333333
